,sy_dist
755,4.54939
756,4.54939
757,4.54939
758,4.54939
759,4.54939
760,15.5575
761,16.9658
762,11.1017
763,12.0445
764,12.0445
765,12.0445
766,4.96435
767,4.96435
768,4.96435
769,4.96435
770,4.96435
771,8.80058
772,8.80058
773,8.80058
774,8.80058
775,8.80058
776,8.80058
777,8.80058
778,8.80058
779,8.80058
780,8.80058
781,10.7836
782,10.7836
783,10.7836
784,4.67517
785,4.67517
786,4.67517
787,4.67517
788,4.67517
789,4.67517
790,4.67517
791,4.67517
792,4.67517
793,4.67517
794,4.67517
795,4.67517
796,4.67517
797,4.67517
798,4.67517
799,4.67517
800,4.67517
801,4.67517
802,4.67517
803,4.67517
804,4.67517
805,4.67517
806,4.67517
807,4.67517
808,4.67517
809,4.67517
810,3.29
811,3.29
812,6.26022
813,20.8065
814,4.471
815,4.471
816,23.8839
817,11.9315
818,30.6203
819,20.5121
820,29.661
821,29.661
822,29.661
823,29.661
824,29.661
825,29.661
826,29.661
827,29.661
828,29.661
829,29.661
830,29.661
831,29.661
832,29.661
833,29.661
834,29.661
835,29.661
836,29.661
837,29.661
838,29.661
839,29.661
840,29.661
841,29.661
842,655.013
843,655.013
844,151.169
845,151.169
846,108.5
847,108.5
848,108.5
849,108.5
850,47.5501
851,363.66
852,209.229
853,209.229
854,980.0
855,980.0
856,890.0
857,1660.0
858,1040.0
859,1580.0
860,1270.0
861,14.9545
862,9.8528
863,8.15728
864,8.15728
865,8.15728
866,12.21
867,12.21
868,12.21
869,158.979
870,158.979
871,158.979
872,158.979
873,158.979
874,158.979
875,158.979
876,158.979
877,158.979
878,158.979
879,158.979
880,158.979
881,158.979
882,158.979
883,158.979
884,158.979
885,37.7647
886,37.7647
887,37.7647
888,37.7647
889,37.7647
890,37.7647
891,37.7647
892,37.7647
893,37.7647
894,37.7647
895,37.7647
896,37.7647
897,37.7647
898,37.7647
899,37.7647
900,37.7647
901,37.7647
902,37.7647
903,37.7647
904,37.7647
905,37.7647
906,142.751
907,142.751
908,142.751
909,142.751
910,142.751
911,142.751
912,142.751
913,142.751
914,142.751
915,142.751
916,142.751
917,142.751
918,142.751
919,142.751
920,142.751
921,246.81
922,246.81
923,246.81
924,246.81
925,246.81
926,246.81
927,246.81
928,246.81
929,246.81
930,246.81
931,246.81
932,246.81
933,246.81
934,246.81
935,246.81
936,246.81
937,222.663
938,222.663
939,222.663
940,222.663
941,222.663
942,222.663
943,222.663
944,222.663
945,222.663
946,222.663
947,222.663
948,222.663
949,222.663
950,192.516
951,192.516
952,192.516
953,192.516
954,192.516
955,192.516
956,192.516
957,226.637
958,226.637
959,226.637
960,226.637
961,226.637
962,226.637
963,226.637
964,226.637
965,226.637
966,226.637
967,226.637
968,92.3831
969,92.3831
970,92.3831
971,92.3831
972,92.3831
973,92.3831
974,92.3831
975,92.3831
976,92.3831
977,92.3831
978,92.3831
979,92.3831
980,161.4
981,161.4
982,161.4
983,161.4
984,161.4
985,161.4
986,161.4
987,161.4
988,161.4
989,161.4
990,161.4
991,161.4
992,202.078
993,202.078
994,202.078
995,202.078
996,202.078
997,202.078
998,202.078
999,202.078
1000,127.774
1001,127.774
1002,127.774
1003,127.774
1004,127.774
1005,127.774
1006,127.774
1007,127.774
1008,127.774
1009,127.774
1010,127.774
1011,127.774
1012,127.774
1013,127.774
1014,127.774
1015,127.774
1016,127.774
1017,127.774
1018,71.0374
1019,71.0374
1020,71.0374
1021,71.0374
1022,71.0374
1023,71.0374
1024,71.0374
1025,71.0374
1026,71.0374
1027,71.0374
1028,277.278
1029,277.278
1030,277.278
1031,277.278
1032,277.278
1033,277.278
1034,277.278
1035,81.7647
1036,81.7647
1037,81.7647
1038,81.7647
1039,81.7647
1040,81.7647
1041,81.7647
1042,81.7647
1043,81.7647
1044,81.7647
1045,81.7647
1046,364.813
1047,364.813
1048,364.813
1049,364.813
1050,364.813
1051,364.813
1052,364.813
1053,364.813
1054,364.813
1055,364.813
1056,364.813
1057,415.344
1058,415.344
1059,415.344
1060,415.344
1061,415.344
1062,415.344
1063,415.344
1064,415.344
1065,415.344
1066,415.344
1067,300.384
1068,300.384
1069,300.384
1070,300.384
1071,300.384
1072,300.384
1073,300.384
1074,300.384
1075,141.837
1076,141.837
1077,141.837
1078,141.837
1079,141.837
1080,141.837
1081,141.837
1082,141.837
1083,141.837
1084,199.173
1085,199.173
1086,199.173
1087,199.173
1088,199.173
1089,199.173
1090,199.173
1091,199.173
1092,401.319
1093,401.319
1094,401.319
1095,401.319
1096,401.319
1097,313.576
1098,313.576
1099,313.576
1100,313.576
1101,313.576
1102,313.576
1103,313.576
1104,313.576
1105,313.576
1106,313.576
1107,134.554
1108,134.554
1109,134.554
1110,134.554
1111,134.554
1112,134.554
1113,134.554
1114,134.554
1115,134.554
1116,134.554
1117,134.554
1118,134.554
1119,134.554
1120,134.554
1121,213.985
1122,213.985
1123,213.985
1124,213.985
1125,213.985
1126,213.985
1127,213.985
1128,213.985
1129,213.985
1130,213.985
1131,344.05
1132,344.05
