,pl_orbper
601,3771.0
602,4100.0
603,241.8
604,30.6
605,30.5987
606,123.75
607,122.6196
608,48.1345
609,13.2543
610,5.3636
611,40.54
612,14.207
613,24.45
614,24.422
615,3.3366496
616,3.336649
617,3.3366513
618,3.3366524
619,3.3366487
620,3.33665
621,3.336649
622,3.33714
623,3.3366413
624,3.336649
625,3.336665
626,1.19799956
627,1.1980035
628,15.509
629,203.59
630,203.69
631,1599.6
632,3.93072
633,3.9306
634,3.9306027
635,3.930623
636,9.1247
637,55.661
638,2.64561
639,0.3219233
640,0.321962
641,0.3219225
642,11.5301
643,34.369
644,3.0232
645,2.6162745
646,2.616235
647,2.61627687
648,15.04
649,7.02679
650,6.905
651,6.9442
652,2.64977
653,13.74
654,12.9394
655,12.9382
656,12.946
657,12.9532
658,51.625
659,50.8
660,749.83
661,744.7
662,20.129
663,26.161
664,13.352
665,7.3697
666,7.3709
667,7.3705
668,7.3709
669,5094.105
670,3400.0
671,36.059
672,2.64389751
673,2.6438986
674,2.64389803
675,2.64385
676,2.64389524
677,2.644
678,2.64385
679,2.6441
681,2.64388312
682,2.643859
683,2.6438979
684,2.6
685,2.643892
686,2.64389846
687,2.64386
688,2.64389803
689,2.643943
690,2.64389762
691,2.6438904
692,2.64389788
693,2.64388561
694,3448.0
695,3448.0
696,3448.0
697,9.567
698,1.4671205
699,1.467119
700,1.46711903
701,1.46712127
703,140.43
704,8.708
705,8.7076
706,5.366
707,5.368
708,5.3686
709,5.36841
710,5.36874
711,5.36879
712,12.9292
713,12.9191
714,12.9144
715,12.919
716,12.914
717,3.14942
718,3.153
719,3.149
720,3.14867
721,14.628
722,600.1
723,604.8
724,598.3
725,7.20066
726,7.2004
727,7.203
728,7.1999
729,7.2
730,28.14
731,28.1
732,28.143
733,28.155
734,62.24
735,39.026
736,256.2
737,4.6938
738,1051.44521
739,1056.80005
740,1051.1
741,1056.8
742,1050.3
743,7337.0
744,13921.42302
745,3.60076
746,3.6
747,3.6005
748,35.47358
749,35.37
750,35.39
751,17281.66514
752,17.478
753,57.32
754,24.16
755,38.14
756,38.14
757,38.152
758,38.142
759,727.562
760,19.466
761,5.101284
762,2.37756
763,0.9263239
764,0.9263237
765,6.64064
766,3853.0
767,3657.0
768,3416.0
769,3610.0
770,3507.0
771,1925.31
772,1915.0
773,1940.0
774,1882.0
775,1890.0
776,1845.0
777,1924.0
778,5750.0
779,5990.0
780,7068.0
781,15.764
782,15.76491
783,15.76491
784,60.83
785,61.065
786,61.082
787,61.087
788,60.85
789,61.02
790,61.4
791,61.03474
792,61.1166
793,30.455
794,30.0784
795,30.12
796,30.126
797,30.22902
798,30.0881
799,30.259
800,1.93778
801,1.93785
802,1.937848
803,1.938
804,1.93774
805,1.93778
806,1.937916
807,124.4
808,124.5
809,124.26
810,9.262
811,21.789
812,284.39
814,771.36
815,767.887
816,13.4586
817,73.94
818,18.27
819,19240.75467
820,1.208957
821,1.2089802
822,1.2089749
823,1.2089819
824,1.208974
825,1.209
826,1.2089755
827,1.208966
828,1.2089819
829,3.648096
830,3.6481145
831,3.648083
832,3.64802
833,3.648103
834,3.6480957
835,3.64823
836,6.2014698
837,6.20141
838,6.201467
839,6.201812
840,6.20147
841,6.20142
842,1.74428305
843,1.744579
851,3.052524
852,3.6915224
853,3.69155899
861,3.822
862,13.8508
863,15.5314
864,15.53209
865,15.53
866,12.76147058
867,12.76142
868,12.761408
869,4.4652934
870,4.46529976
872,4.4653014
873,4.4652934
874,4.46529913
875,4.46529974
876,4.4652992
877,4.46530031
878,4.46529976
879,4.4652934
880,4.46529
881,4.4652968
882,4.46
883,4.46543
884,4.46529958
885,4.88780201
886,4.88780271
887,4.88781501
888,4.88782
889,4.88780232
890,4.8878009
891,4.8878049
892,4.88780271
893,4.88780271
894,4.88780267
895,4.8878162
896,4.8878023
897,4.88780026
899,4.88780244
900,4.88780271
901,4.88780308
903,4.88780308
904,3397.0
905,3407.0
906,3.2130589
907,3.2130598
910,3.2130598
911,3.2130578
912,3.21305786
913,3.21305762
914,3.21
915,3.21305929
916,3.21305992
917,3.21305751
918,3.2130589
920,3.2130579
921,2.9162381
922,2.91625
923,2.9162383
924,2.9162433
925,2.9162368
926,2.91626
927,2.91624268
928,2.91624121
929,2.91640045
930,2.9162383
931,2.9162431
932,2.9162382
933,445.82
934,445.82
935,428.5
936,446.27
937,4.627682
938,4.6276594
939,4.627682
940,4.627649
941,4.627669
942,4.6276623
943,4.62767
944,4.62766172
946,4.62766098
947,4.6276691
948,4.627664
949,4.627669
950,10.863502
951,10.86149107
952,10.86345165
953,10.863502
954,10.8635
956,10.863502
957,2.7759704
958,2.7759712
959,2.77596784
960,2.77596727
961,2.77596
962,2.77596748
963,2.77592252
964,2.77597024
965,2.77596
966,2.7759677
969,10.3385346
970,10.338523
971,10.3385897
972,10.33853522
973,10.338523
975,10.3385358
976,10.33852
977,3972.0
978,1610.0
979,5584.0
980,5.50803
981,5.5080291
982,5.5080287
984,5.5080232
986,5.508023
987,5.508023
989,5.507978
990,5.50806822
991,5.50802941
992,4.008778
993,4.0088245
994,4.00878423
995,4.00878322
996,4.008778
997,4.0087842
998,4.00878403
999,4.0087842
1000,5.63346961
1001,5.633477
1002,5.6334754
1003,5.63341
1004,5.6335158
1005,5.633472
1006,5.6334675
1007,5.63341
1008,5.63332
1009,5.6334729
1010,5.6335152
1011,5.63346964
1012,5.6334729
