,st_dens,st_logg
2263,0.379,4.11
2267,1.5889,4.47
2268,1.67,4.48
2271,1.17,4.39
2273,1.0103,4.34
2275,0.8615,4.33
2278,0.62,4.22
2281,17.7218,4.96
2282,1.29,4.42
2284,0.9374,4.32
2288,0.275,4.0
2289,0.3534,4.06
2291,1.3838,4.43
2292,1.17,4.4
2296,1.266,4.41
2298,1.4,4.45
2299,1.6089,4.47
2300,1.44,4.43
2305,0.6655,4.24
2306,0.628,4.24
2308,1.118,4.4
2311,1.1586,4.39
2312,1.19,4.4
2313,0.8672,4.27
2320,1.0255,4.35
2323,0.457,4.16
2324,0.3532,4.09
2329,1.3522,4.41
2332,0.189,3.92
2333,0.212,3.93
2335,0.4217,4.13
2336,0.42,4.14
2340,0.8283,4.31
2341,0.55,4.2
2342,2.18,4.54
2343,1.8131,4.49
2348,1.98,4.51
2349,1.603,4.44
2350,0.79,4.3
2351,1.027,4.39
2354,2.0025,4.53
2355,2.1,4.54
2360,2.8569,4.59
2361,3.36,4.63
2362,2.804,4.59
2365,2.1558,4.51
2366,21.0813,5.0
2368,2.961,4.6
2369,1.9947,4.48
2375,1.8907,4.51
2376,1.19,4.41
2377,0.81,4.28
2379,0.56,4.2
2382,0.7735,4.27
2383,1.3748,4.44
2385,1.37,4.45
2387,1.1989,4.39
2388,1.027,4.34
2391,0.6295,4.2
2392,0.795,4.2
2393,0.678,4.24
2397,1.6866,4.54
2398,1.179,4.41
2400,0.2079,3.95
2401,0.1918,3.9
2405,1.517,4.46
2407,1.633,4.48
2410,0.702,4.29
2413,1.31,4.42
2415,1.0729,4.36
2417,4.36,4.68
2419,3.8831,4.65
2420,0.4458,4.1
2421,0.496,4.15
2425,0.3158,4.0
2427,0.33,4.03
2428,1.556,4.45
2430,1.5895,4.47
2432,1.071,4.35
2433,1.2834,4.41
2435,0.2126,3.94
2437,0.234,3.98
2440,6.3881,4.77
2441,0.7895,4.3
2442,0.788,4.3
2444,0.365,4.09
2445,0.318,4.06
2449,0.677,4.28
2450,0.6204,4.24
2452,0.1786,3.84
2454,0.356,4.08
2455,1.7585,4.48
2457,1.854,4.5
2460,2.4149,4.56
2461,2.22,4.54
2466,0.3146,4.11
2468,6.26,4.77
2471,7.0472,4.79
2472,2.743,4.59
2473,2.0418,4.5
2476,4.43,4.7
2477,3.6347,4.64
2481,4.0227,4.66
2482,4.239,4.68
2483,3.8,4.67
2485,3.4062,4.62
2487,3.48,4.64
2488,2.701,4.56
2489,1.15,4.39
2491,0.9956,4.33
2493,0.451,4.1
2496,0.3439,4.02
2499,0.427,4.09
2504,0.5895,4.33
2510,2.3117,4.51
2513,1.1593,4.38
2522,0.9221,4.32
2539,2.3641,4.52
2544,1.8015,4.49
2546,0.7413,4.25
2562,2.1605,4.55
2587,29.4122,5.06
2593,1.6536,4.49
2599,1.5568,4.46
2610,8.776,4.83
2612,1.7425,4.48
2622,2.4681,4.57
2625,0.6142,4.24
2632,0.1303,3.76
2641,2.7045,4.59
2658,2.6262,4.59
2674,0.6886,4.23
2676,1.7184,4.5
2678,1.0698,4.37
2709,0.9771,4.37
2725,1.2517,4.43
2731,1.4868,4.44
2733,1.66,4.39
2734,1.7016,4.48
2740,1.88,4.3
2743,0.1943,3.9
2759,0.2244,3.9
2777,0.9315,4.32
2790,0.979,4.36
2795,3.4744,4.65
2798,1.82,4.49
2799,2.2282,4.57
2803,1.94,4.5
2810,2.5669,4.59
2815,7.6989,4.8
2837,1.0637,4.35
2846,1.0992,4.37
2851,0.7438,4.26
2854,1.7031,4.49
2857,0.6735,4.23
2869,1.5723,4.48
2871,1.5226,4.45
2873,1.886,4.5
2888,2.6779,4.61
2889,17.7917,4.96
2890,1.0,4.2
2896,1.209,4.43
2900,1.5119,4.46
2905,0.4713,4.13
2908,1.7166,4.49
2934,0.6648,4.26
2946,0.5652,4.22
2958,1.9704,4.47
2966,0.585,4.23
2985,2.4462,4.56
2988,0.3748,4.06
2990,10.5917,4.87
3027,2.0259,4.52
3028,0.8495,4.3
3033,0.6413,4.23
3044,0.3016,4.0
3060,0.9457,4.32
3088,0.9334,4.33
3100,0.1716,3.84
3102,0.19,3.89
3104,0.2089,3.99
3114,0.1581,3.79
3117,3.6118,4.64
3148,1.2156,4.41
3150,0.2651,3.97
3154,0.7368,4.27
3160,1.4689,4.46
3162,2.4927,4.56
3176,2.5169,4.56
3178,22.4299,5.01
3181,1.0175,4.35
3199,1.4172,4.44
3208,0.7884,4.27
3224,12.7194,4.9
3227,0.5584,4.16
3235,2.6092,4.59
3256,1.7325,4.46
3265,0.9037,4.31
3280,1.958,4.52
3295,0.045,3.44
3304,0.5839,4.19
3311,1.1585,4.4
3315,0.7977,4.3
3317,1.7161,4.5
3323,1.7157,4.5
3331,1.0159,4.36
3341,0.95,4.33
3344,0.978,4.33
3352,0.6832,4.23
3366,0.6313,4.22
3370,1.1547,4.38
3371,1.0333,4.33
3375,0.3524,4.06
3378,1.0348,4.39
