,st_age,st_lum
6102,3.09,0.74
6119,4.67,0.659
6121,4.87,0.58
6122,5.45,0.68
6128,1.5,0.164
6139,2.98,0.16
6141,5.44,0.215
6154,10.0,-0.409
6163,3.0,-0.639
6167,2.6,-0.569
6175,4.5,-0.639
6182,1.35,1.664
6201,1.6,-0.187
6203,1.0,-0.293
6214,5.5,0.035
6215,6.4,0.086
6230,5.0,0.206
6243,6.0,-0.188
6263,3.72,-0.046
6272,8.6,-0.154
6274,11.7,-0.155
6280,8.68,0.029
6281,9.5,-0.017
6287,4.3,-0.004
6294,2.0,1.149
6299,1.72,1.14
6307,2.39,0.5
6333,6.8,0.083
6362,5.0,-0.222
6363,8.4,-0.2
6373,9.0,-0.137
6392,6.5,0.066
6404,1.47,1.18
6407,0.94,1.389
6411,1.61,1.417
6413,10.15,2.27
6430,5.0,0.584
6435,4.56,0.51
6466,3.5,0.342
6484,3.5,0.119
6492,2.16,0.143
6511,3.5,0.297
6517,3.5,0.308
6524,3.76,0.352
6533,3.0,0.28
6536,5.04,0.92
6540,2.4,0.663
6541,3.1,0.908
6550,2.64,0.43
6554,7.41,1.61
6563,1.72,1.15
6577,0.42,1.158
6581,1.5,1.595
6583,8.3,1.23
6589,2.73,1.76
6596,1.8,2.394
6604,2.25,0.8
6613,2.4,0.055
6618,3.901,0.433
6629,0.98,1.59
6638,1.5,-0.117
6639,0.414,-0.123
6641,0.414,-0.125
6649,3.3,-0.108
6653,1.0,-0.668
6656,1.0,-0.592
6672,6.8,-0.098
6674,6.6,-0.115
6686,3.8,0.05
6691,13.0,0.061
6703,4.0,-0.176
6713,9.18,2.22
6715,6.84,2.24
6722,8.0,0.071
6739,1.45,0.54
6749,2.0,0.068
6772,3.0,-0.239
6781,7.0,-0.22
6788,9.4,-0.201
6791,1.0,-0.275
6809,6.24,-0.009
6813,1.0,-0.054
6819,6.79,-0.155
6835,6.5,0.336
6843,8.0,0.293
6849,8.0,0.146
6855,0.83,-0.161
6860,7.4,-0.106
6879,9.0,0.321
6887,9.59,0.33
6890,4.01,0.68
6897,7.04,0.54
6899,0.78,-0.744
6906,3.7,0.482
6921,5.0,0.435
6932,2.1,0.083
