,st_mass,st_lum
1683,0.73,-0.68
1686,0.73,-0.678
1694,1.22,0.346
1696,1.02,0.508
1699,1.43,0.644
1707,1.39,0.563
1709,1.32,0.592
1712,1.01,-0.129
1715,1.01,0.0
1720,1.16,0.295
1725,0.69,-0.781
1730,1.22,0.294
1732,0.86,-0.319
1735,0.92,-0.289
1744,0.77,-0.569
1745,0.77,-0.585
1748,0.84,-0.432
1751,0.81,-0.485
1752,0.83,-0.446
1758,1.3,0.485
1763,1.31,0.505
1764,1.29,0.646
1766,1.36,0.577
1770,1.33,0.53
1773,0.73,-0.73
1779,0.76,-0.721
1781,1.0,0.156
1782,0.95,0.025
1788,0.59,-1.271
1789,0.92,-0.114
1790,0.93,-0.094
1803,1.13,0.199
1806,1.08,0.166
1812,1.19,0.408
1815,1.25,0.464
1819,1.01,-0.125
1820,1.01,-0.152
1821,0.99,-0.134
1827,0.85,-0.359
1830,0.82,-0.42
1831,0.92,-0.269
1836,0.94,-0.244
1841,1.01,0.017
1842,1.02,0.053
1849,1.2,0.283
1850,1.14,0.272
1851,1.21,0.265
1854,0.92,-0.36
1856,0.94,-0.355
1859,0.26,-2.069
1864,0.92,-0.362
1866,0.89,-0.344
1867,0.93,-0.348
1875,1.25,0.417
1876,1.24,0.312
1884,1.15,0.433
1887,1.22,0.348
1890,1.13,0.338
1891,1.25,0.366
1898,1.16,0.294
1905,1.38,0.618
1908,1.4,0.689
1914,1.39,0.56
1917,1.34,0.6
1920,0.5,-1.406
1925,1.18,0.383
1927,1.24,0.407
1929,1.05,0.022
1934,0.98,-0.006
1935,1.02,0.013
1938,0.96,-0.215
1939,0.93,-0.208
1943,0.88,-0.176
1944,0.89,-0.208
1949,1.4,0.607
1954,1.32,0.681
1959,1.1,0.469
1960,1.1,0.321
1965,1.26,0.428
1967,1.26,0.43
1971,1.51,0.778
1972,1.14,0.731
1975,1.32,0.636
1976,1.42,0.628
1985,1.06,0.327
1986,1.18,0.356
1989,1.05,0.045
1995,1.01,0.06
1997,0.86,-0.182
1998,0.94,-0.194
2000,1.26,0.4
2004,0.99,0.266
2005,1.28,0.391
2006,1.76,0.764
2013,1.52,0.909
2014,1.54,0.814
2022,1.05,0.124
2023,1.16,0.187
2027,1.27,0.603
2029,1.25,0.634
2031,0.95,-0.101
2033,0.98,-0.066
2034,0.96,-0.102
2037,0.89,-0.305
2041,0.84,-0.373
2046,1.09,0.217
2048,1.12,0.155
2049,0.65,-0.819
2051,0.65,-0.902
2061,1.03,0.097
2063,1.06,0.08
2074,1.39,0.577
2077,1.48,0.658
2081,1.47,0.806
2082,1.03,0.456
2083,1.01,0.341
2085,0.99,0.071
2087,1.01,0.054
2091,1.29,0.555
2093,1.29,0.553
2099,1.5,0.702
2101,1.25,0.839
2102,1.44,0.809
2103,1.0,-0.115
2104,0.95,-0.073
2106,1.02,0.091
2108,0.99,0.133
2109,0.93,-0.146
2110,0.85,-0.187
2112,1.19,0.61
2114,1.3,0.668
2115,1.3,0.473
2118,1.08,0.488
2119,1.21,0.555
2122,1.25,0.615
2123,1.15,0.675
2124,1.64,0.939
2126,1.29,1.03
2128,0.57,-1.335
2129,0.66,-0.743
2131,0.68,-0.779
2134,1.65,1.0
2136,1.8,1.055
2144,1.47,0.69
2157,1.51,0.77
2159,1.35,0.814
2163,2.19,1.308
2164,1.89,1.223
2169,1.28,0.519
2174,1.28,0.491
2178,1.28,0.418
2181,1.28,0.41
2183,1.19,0.35
2186,1.18,0.041
2187,0.99,0.041
2191,1.07,0.222
2193,1.1,0.117
2198,1.06,0.359
2199,1.0,0.403
2206,1.49,0.863
2210,0.95,-0.284
2217,0.93,-0.142
2219,0.86,0.208
2220,0.87,-0.204
2221,0.97,0.173
2222,1.06,0.173
2225,1.05,0.261
2226,1.13,0.093
2231,1.04,-0.032
2233,1.01,-0.017
2236,0.82,-0.316
2237,0.88,-0.268
2241,0.76,-0.549
2242,0.76,-0.646
2244,1.03,0.038
2247,1.12,0.155
2251,1.07,0.19
2252,1.21,0.292
2253,1.18,0.24
2255,1.03,0.097
2257,0.99,0.068
2260,1.3,0.704
2261,1.16,0.67
2262,1.41,0.702
2263,1.42,0.669
2267,0.96,-0.13
2268,0.93,-0.157
2271,1.03,0.029
2273,0.99,0.041
2275,1.27,0.383
2276,1.21,0.456
2281,0.24,-2.079
2282,1.09,0.097
2284,1.03,0.12
2288,1.27,0.619
2289,1.15,0.541
2291,1.01,-0.024
2292,1.1,0.057
2296,1.01,0.01
2298,1.06,-0.018
2299,0.95,-0.157
2300,0.95,-0.14
2305,1.17,0.374
2306,1.32,0.465
2308,1.22,0.215
2311,1.06,0.1
2313,0.83,-0.16
2314,0.84,-0.256
2316,0.65,-0.921
2317,0.89,0.072
2320,1.01,0.066
2323,1.38,0.64
2324,1.42,0.758
2327,1.0,-0.187
2329,0.91,-0.159
2332,1.56,0.903
2333,1.36,0.86
2335,1.29,0.604
2336,1.5,0.653
2340,1.19,0.331
2341,1.27,0.425
2342,0.84,-0.398
2343,0.87,-0.314
2348,0.86,-0.398
2349,0.79,-0.411
2350,1.27,0.425
2351,1.38,0.418
2354,0.96,-0.203
2355,0.92,-0.23
2360,0.69,-0.77
2361,0.67,-0.796
2362,0.73,-0.709
2365,0.69,-0.688
2366,0.21,-2.209
2368,0.71,-0.785
2369,0.66,-0.754
2373,0.94,-0.268
2375,0.9,-0.278
2376,1.17,0.143
2377,1.03,0.168
2379,1.19,0.31
2382,1.02,0.161
2383,1.04,0.024
2385,1.11,0.068
2387,1.01,0.027
2388,0.96,0.045
2391,1.0,0.197
2392,1.05,0.115
2393,1.1,0.212
2397,1.45,0.336
2398,1.2,0.229
2400,1.57,0.898
2401,1.31,0.851
2405,0.99,-0.079
2407,1.03,-0.094
2410,1.46,0.689
2413,1.04,-0.004
2415,1.0,0.043
2419,0.59,-1.198
2420,1.0,0.299
2421,1.1,0.3
2425,0.98,0.359
2427,1.08,0.369
2428,0.9,-0.173
2430,0.95,-0.149
2432,0.93,0.012
2433,1.02,0.022
2435,1.38,0.875
2437,1.56,0.867
2440,0.47,-1.445
2441,1.23,0.379
2442,1.26,0.377
2444,1.35,0.694
2445,1.41,0.767
2449,1.44,0.547
2450,1.28,0.487
2452,1.02,0.584
2454,1.35,0.592
2455,0.86,-0.322
2457,0.89,-0.318
2460,0.82,-0.475
2461,0.85,-0.434
2466,2.13,1.336
2467,1.78,1.079
2468,0.49,-1.56
2471,0.44,-1.621
2472,0.73,-0.659
2473,0.71,-0.63
2476,0.6,-1.216
2477,0.6,-1.306
2481,0.58,-1.263
2482,0.6,-1.197
2483,0.66,-1.038
2485,0.61,-1.064
2487,0.66,-0.992
2488,0.64,-0.909
2491,0.98,0.028
2496,0.96,0.312
2499,1.03,0.23
2501,2.4,1.5
2504,2.66,1.547
2506,2.4,1.633
2510,0.61,-0.95
2513,0.97,-0.026
2514,1.0,-0.047
2519,1.01,0.021
2520,0.94,0.019
2522,1.07,0.181
2525,1.06,0.173
2528,1.06,0.172
2535,0.9,-0.387
2537,0.78,-0.33
2538,0.82,-0.337
2539,0.63,-0.911
2540,0.74,-0.31
2544,0.86,-0.326
2546,1.01,0.157
2549,1.01,0.19
2554,1.03,0.196
2558,1.1,0.124
2559,0.85,-0.284
2560,0.9,-0.331
2562,0.9,-0.31
2566,0.87,-0.328
2567,0.93,-0.334
2584,1.95,1.292
2585,0.89,-0.066
2587,0.17,-2.403
2593,1.01,-0.074
2597,0.82,-0.091
2599,0.95,-0.141
2608,1.68,1.064
2610,0.39,-1.72
2612,0.9,-0.257
2615,0.9,-0.328
2622,0.83,-0.46
2625,1.37,0.562
2630,1.33,0.544
2632,1.1,0.782
2633,1.28,0.786
2639,0.71,-0.585
2641,0.78,-0.573
2642,0.76,-0.616
2652,0.7,-0.52
2656,0.83,-0.469
2658,0.81,-0.51
2665,1.01,0.31
2671,2.3,1.778
2672,1.22,1.77
2674,1.01,0.18
2675,0.89,-0.108
2676,1.04,-0.04
2678,1.06,0.128
2680,1.05,0.108
2686,1.03,0.108
2687,1.05,0.123
2698,1.32,0.756
2705,1.03,0.35
2709,1.33,0.395
2710,1.07,0.29
2715,1.1,0.215
2716,1.2,0.168
2717,1.1,0.173
2719,1.11,0.149
