,st_mass,st_lum
9426,1.16,0.4
9428,0.96,-0.002
9433,1.06,0.126
9435,1.07,0.093
9441,0.48,-1.439
9446,0.56,-1.225
9449,0.54,-1.32
9454,0.75,-0.663
9460,0.69,-0.894
9461,0.82,-0.388
9465,0.9,-0.366
9471,0.68,-0.719
9481,1.04,-0.012
9486,1.03,0.024
9488,1.03,-0.063
9491,0.96,-0.076
9496,0.42,-1.614
9497,0.98,-0.115
9499,0.96,-0.244
9503,1.01,-0.066
9506,0.97,-0.161
9514,0.77,-0.575
9516,0.79,-0.57
9518,0.98,-0.014
9525,1.02,-0.109
9532,0.7,-0.854
9535,0.76,-0.693
9539,1.03,-0.121
9545,0.81,-0.408
9553,0.93,-0.127
9558,0.82,-0.517
9563,0.96,-0.122
9568,1.1,0.432
9572,1.04,-0.059
9576,1.05,0.396
9580,1.12,0.189
9584,0.67,-0.818
9589,0.79,-0.567
9592,0.71,-0.633
9597,1.03,0.037
9598,1.01,0.103
9602,0.98,0.202
9607,0.72,-0.739
9613,0.94,-0.28
9618,0.82,-0.397
9622,0.33,-1.87
9626,0.8,-0.519
9629,1.04,-0.019
9634,0.57,-1.239
9637,0.91,-0.212
9641,0.94,0.106
9653,0.97,-0.099
9655,0.93,0.391
9659,1.04,0.048
9660,1.02,0.043
9663,0.66,-0.858
9669,0.8,-0.413
9670,0.87,-0.23
9674,0.94,-0.145
9676,1.09,0.26
9679,0.64,-0.915
9687,0.37,-1.748
9690,0.68,-0.835
9693,1.05,0.209
9698,0.96,-0.171
9700,0.55,-1.239
9706,0.79,-0.488
9710,1.01,-0.06
9711,0.96,-0.127
9714,0.9,-0.33
9718,1.0,0.172
9721,1.02,0.258
9723,0.88,-0.071
9725,0.65,-0.833
9726,0.69,-0.705
9729,0.16,-2.466
9730,0.16,-2.455
9731,0.55,-1.27
9732,0.55,-1.294
9733,0.57,-1.207
9734,0.57,-1.202
9735,0.56,-1.277
9741,0.54,-1.296
9744,0.73,-0.663
9752,0.56,-1.273
9762,1.04,0.446
9768,0.68,-0.712
9775,1.19,0.421
9780,0.8,-0.457
9788,0.75,-0.624
9794,0.69,-0.75
9799,0.65,-1.04
9807,0.67,-0.802
9812,1.13,0.751
9819,0.72,-0.579
9824,0.62,-1.03
9834,0.67,-0.784
9839,0.7,-0.777
9843,0.83,-0.398
9851,0.81,-0.64
9858,1.01,-0.098
9866,1.0,0.282
9875,1.02,-0.015
9882,0.72,-0.727
9888,1.06,0.244
9893,0.94,-0.234
9904,1.09,0.53
9906,0.77,-0.644
9913,0.52,-1.356
9917,1.04,0.431
9922,0.85,-0.429
9932,0.47,-1.519
9936,0.31,-1.837
9942,1.06,0.076
9951,1.11,0.092
9956,1.06,0.368
9962,0.79,-0.498
9963,0.8,-0.5
9967,0.91,0.1
9977,0.77,-0.553
9986,0.89,-0.303
9994,0.77,-0.569
9995,0.56,-1.204
10003,0.9,-0.337
10012,0.66,-0.812
10020,0.88,-0.349
10021,0.99,0.267
10029,0.44,-1.545
10036,0.53,-1.327
10037,0.3,-1.838
10038,0.3,-1.921
10045,0.65,-0.953
10052,0.35,-1.841
10060,0.43,-1.635
10065,0.41,-1.678
10066,0.36,-1.678
10088,1.23,0.504
10092,1.14,0.961
10097,1.32,0.542
10098,1.38,0.562
10101,1.07,0.159
10104,1.11,0.217
10111,1.44,0.744
10114,1.59,0.892
10115,1.26,0.836
10119,1.18,0.279
10120,1.06,0.388
10124,1.33,0.573
10125,1.18,0.412
10127,0.38,-1.64
10129,1.3,0.488
10130,0.3,-1.971
10131,1.21,0.401
10134,1.64,0.876
10135,1.73,0.919
10137,1.48,0.857
10140,1.52,0.813
10145,1.7,0.888
10146,1.62,0.978
10155,1.25,0.707
10157,1.76,1.104
10160,2.28,1.195
10162,2.05,1.103
10163,1.46,0.905
10166,1.07,0.005
10167,0.94,0.034
10176,1.25,0.538
10178,1.46,0.565
10179,1.27,0.439
10182,1.34,0.625
10185,1.28,0.489
10189,1.2,0.535
10191,1.24,0.573
10196,1.08,0.493
10198,1.22,0.578
10201,1.45,0.772
10206,1.53,0.758
10212,1.02,0.265
10216,0.2,-2.071
10217,2.52,1.724
10220,2.43,1.594
10222,0.47,1.431
10239,0.99,0.122
10244,1.42,1.215
10249,1.13,0.468
10262,1.1,0.641
10272,0.92,-0.201
10276,1.63,0.996
10277,1.65,1.072
10279,1.05,0.74
10286,1.15,0.792
10537,1.45,0.626
10585,0.96,-0.223
10593,0.93,-0.165
10600,1.05,0.162
10628,1.1,0.213
10638,0.93,-0.169
10663,1.11,0.3
10699,1.12,0.269
10723,1.02,0.068
10737,0.4,-1.64
10738,0.5,1.341
10741,0.5,1.36
10745,0.78,-0.316
10753,1.15,0.299
10757,0.66,-0.768
10776,1.18,0.43
10778,0.67,-0.817
10781,1.28,0.479
10814,0.82,-0.347
10817,0.32,-2.0
10821,0.28,-1.793
10834,0.9,0.002
10849,1.02,0.055
10850,0.9,0.002
10851,0.91,0.002
10872,1.06,0.411
10889,1.32,0.715
10905,0.93,-0.279
10932,1.11,0.282
10966,1.02,0.136
11002,0.85,-0.507
11006,0.41,-1.64
11021,0.66,-0.987
11033,0.99,0.42
11048,0.86,-0.412
11072,0.87,-0.376
11082,0.96,-0.194
11091,0.77,-0.531
11101,0.91,-0.337
11124,1.28,0.559
11138,1.0,0.124
11164,0.99,-0.161
11179,0.96,-0.082
11192,0.66,-0.806
11214,0.81,-0.553
11241,0.78,-0.584
11250,0.89,-0.436
11264,0.91,-0.288
11284,0.67,-0.858
11286,0.9,-0.193
11316,0.9,-0.35
11324,1.16,0.287
11335,0.79,-0.617
11353,0.92,0.011
11355,0.46,-1.606
11365,0.96,-0.245
11382,0.77,-0.62
11396,1.07,0.424
11418,0.81,-0.553
11458,0.96,-0.126
11472,0.86,-0.439
11481,1.03,0.209
11494,0.95,-0.202
11509,0.82,-0.448
11513,0.89,-0.362
11536,0.72,-0.649
11560,1.08,0.089
11567,0.89,-0.469
11590,1.01,-0.044
11603,1.08,0.489
11622,1.02,-0.073
11638,1.05,0.031
11658,0.9,-0.334
11672,0.98,0.424
11706,0.69,-0.409
11717,0.58,-1.14
11737,1.09,0.097
11741,1.28,0.607
11756,1.06,0.059
11784,1.33,0.524
11787,1.02,-0.047
11807,0.69,-0.895
11824,1.07,0.369
11836,1.01,-0.148
11854,1.13,0.227
11862,1.11,-0.006
11894,0.79,-0.52
11914,1.07,0.083
11937,1.01,0.072
11946,1.16,0.088
11963,0.69,-0.682
11999,0.96,-0.116
12015,0.98,-0.19
12038,0.95,-0.147
12050,1.0,-0.025
12068,0.98,0.372
12106,1.04,0.364
12114,1.17,0.285
12133,0.89,-0.313
12150,1.04,0.365
12172,1.03,-0.01
12187,0.59,-1.121
12192,0.58,-1.113
12227,1.02,0.006
12244,0.94,0.5
12289,1.37,0.861
12295,0.88,-0.306
12307,1.06,0.314
12327,0.81,-0.473
12338,1.02,0.253
12360,1.05,0.079
12362,0.71,-0.657
12365,0.7,-0.86
12381,0.9,-0.097
12403,1.06,0.09
12407,0.55,-1.297
12441,1.09,0.347
12458,0.89,-0.146
12467,1.07,0.08
12479,1.06,0.096
12491,1.26,0.46
12509,1.01,0.178
12519,0.99,-0.093
12535,0.7,-0.84
12550,0.89,-0.404
12560,1.05,0.157
12584,1.02,-0.119
12615,1.05,0.12
12649,1.12,0.276
12660,1.09,0.088
12678,0.94,-0.351
12696,1.05,0.139
12698,1.14,0.522
12720,1.31,0.514
12729,0.64,-0.945
12743,1.13,0.159
12758,0.87,-0.417
12772,0.93,-0.258
12787,0.93,-0.076
12807,1.12,0.158
12809,1.09,0.195
12822,0.76,-0.637
12826,1.04,-0.09
12847,1.35,0.542
12859,1.1,0.08
12865,0.94,-0.293
12884,2.22,1.254
12898,0.95,-0.147
12910,0.93,-0.224
12916,0.92,-0.06
12931,1.09,0.486
12959,0.98,-0.086
12969,0.82,-0.588
12977,1.16,0.475
12996,0.96,0.059
13013,0.91,-0.295
13014,0.52,-1.323
13028,1.08,0.647
13051,1.01,-0.099
13067,0.92,-0.259
13087,0.78,-0.196
13106,0.99,-0.027
13113,0.75,-0.576
13149,0.92,-0.26
13174,1.04,-0.028
13189,0.88,-0.378
13200,0.93,-0.21
13215,0.89,-0.397
13231,0.98,0.437
13249,0.7,-0.853
13257,1.43,0.754
13265,0.96,-0.333
13287,0.88,-0.304
13301,0.74,-0.685
13330,0.78,-0.566
13338,1.07,0.155
13350,0.97,0.437
13363,0.78,-0.623
13389,1.01,0.056
13395,0.83,-0.498
13407,0.73,-0.642
13426,1.01,0.235
13431,0.81,-0.531
13452,0.99,0.165
13467,1.13,0.22
13483,0.73,-0.666
13492,0.82,-0.402
13503,0.93,-0.342
13520,0.59,-1.097
13524,0.93,-0.284
13553,1.28,0.452
13568,1.05,-0.068
13587,0.71,-0.675
13603,1.15,0.84
13614,1.04,0.298
13630,1.23,0.421
13643,0.95,-0.343
13656,0.71,-0.653
13664,0.9,-0.322
13683,1.22,0.396
13711,0.88,-0.399
13717,1.11,0.552
13742,0.94,-0.256
13748,0.78,-0.536
13766,0.81,-0.53
13782,1.09,0.262
13793,1.15,0.538
13814,0.83,-0.338
13826,1.54,0.869
13840,1.03,-0.161
13852,0.85,-0.435
13866,1.08,0.555
13885,0.96,-0.34
13894,0.99,-0.117
13908,1.0,0.342
13915,0.85,-0.277
13936,0.89,-0.444
13968,0.86,-0.377
13971,1.17,0.417
13991,1.33,0.472
14004,1.06,0.256
14014,0.96,0.255
14031,1.08,0.065
14039,1.06,0.282
14067,0.96,0.064
14079,1.07,0.136
14086,1.07,0.398
14105,0.98,0.041
14130,0.99,-0.037
14144,0.71,-0.727
14149,0.92,-0.226
14161,0.97,-0.128
14180,1.06,0.351
14206,0.84,-0.446
14217,1.02,-0.047
14231,0.72,-0.666
14251,0.94,-0.232
14272,1.09,0.449
14305,0.71,-0.677
14314,0.69,-0.689
14334,1.08,0.044
14340,0.99,-0.134
14362,0.63,-0.854
14373,1.0,-0.058
14386,0.84,-0.418
14396,0.74,-0.62
14405,1.05,0.638
14417,0.79,-0.553
14444,1.23,0.343
14459,0.92,-0.474
14475,0.94,-0.149
14488,1.03,0.134
14510,1.11,0.211
14517,1.14,0.395
14535,0.83,-0.419
14547,0.95,-0.182
14555,1.01,0.073
14574,1.06,0.085
14591,1.06,0.363
14593,1.04,0.926
14619,1.11,0.27
14660,1.06,0.025
14685,0.86,-0.458
14692,0.74,-0.541
14701,1.21,0.293
14722,1.17,0.333
14725,1.1,0.359
14748,0.99,-0.158
14751,0.81,-0.555
14766,0.48,-1.533
14775,0.56,-1.233
14785,1.25,0.41
14813,1.05,0.096
14823,0.98,0.023
14838,0.9,-0.359
14858,1.15,0.221
14866,0.78,-0.454
14888,0.92,-0.156
14900,0.89,-0.379
14917,0.87,-0.258
14919,1.27,0.584
14946,1.07,0.447
14970,0.88,-0.467
14985,0.99,0.223
14986,0.89,-0.324
15011,0.79,-0.516
15021,0.96,-0.244
15036,1.36,1.032
15072,0.7,-0.727
15074,0.92,-0.345
15102,1.12,0.428
15125,0.55,-1.328
15134,0.54,-1.251
15138,1.01,0.343
15149,0.98,-0.153
15166,1.0,-0.13
15180,1.01,0.345
15199,0.8,-0.572
15211,1.08,0.307
15232,1.14,0.428
15242,0.93,-0.136
15257,1.03,0.094
15263,0.86,-0.333
15288,1.2,0.452
15304,1.03,0.526
15317,0.79,-0.523
15330,1.01,-0.105
15343,0.87,-0.414
15355,1.01,-0.055
15375,0.73,-0.7
15398,0.83,-0.53
15406,0.98,0.003
15428,1.07,0.345
15439,1.08,0.556
15459,1.13,0.407
15499,1.13,0.219
15510,1.04,0.37
15523,0.95,-0.305
15536,1.1,0.798
15555,1.13,0.315
15564,1.22,0.22
15581,0.99,-0.199
15589,1.11,0.366
15612,1.12,0.693
15643,1.14,0.575
15649,1.1,0.679
15672,0.95,-0.183
15697,1.15,0.927
15707,0.81,-0.395
15721,1.12,0.481
15737,1.02,0.128
15747,1.02,-0.091
15769,1.03,0.16
15778,1.02,0.464
15806,1.0,0.069
15818,0.85,-0.467
15830,0.95,-0.091
15849,1.22,0.604
15865,1.03,0.421
15878,0.89,-0.283
15887,0.92,0.486
15901,1.05,0.302
15911,1.13,0.84
15922,0.95,-0.106
15950,1.0,0.155
15959,1.09,0.198
15975,1.15,0.636
15987,0.86,-0.346
15998,0.85,-0.467
16003,1.01,-0.002
16033,0.99,0.084
16046,0.97,-0.063
16059,0.99,-0.205
16069,0.48,-1.503
16095,1.03,0.022
16116,0.99,-0.192
16144,1.02,0.472
16162,0.99,-0.099
16176,0.93,-0.325
16184,0.23,-1.891
16190,0.75,-0.628
16209,1.16,0.253
16218,0.84,-0.414
16231,0.71,-0.73
16238,0.17,-2.425
16240,0.5,-1.457
16244,0.56,-1.327
16283,0.72,-0.729
16299,0.63,-0.862
16332,0.94,-0.101
16340,1.12,0.295
16354,0.72,-0.673
16361,0.96,-0.136
16378,1.43,0.523
16389,1.02,0.036
16396,1.0,0.228
16406,0.7,-0.771
16424,1.02,0.41
16446,0.96,0.426
16457,0.66,-0.909
16463,0.97,-0.137
16486,0.96,-0.188
16492,1.01,0.028
16511,0.78,-0.555
16523,0.95,0.421
16535,0.69,-0.742
16550,1.04,0.247
16557,0.99,0.188
16578,1.05,0.061
16589,1.11,0.087
16600,0.71,-0.638
16616,0.9,-0.261
16620,1.03,0.195
16638,1.05,0.146
16648,1.13,0.693
16653,1.01,-0.008
16677,1.06,0.204
16695,1.05,0.343
16703,1.1,0.448
16725,0.53,-1.283
16742,0.68,-0.983
16745,1.08,0.263
16763,0.75,-0.615
16773,1.05,0.302
16783,0.9,-0.329
16795,0.83,-0.486
16806,0.99,-0.146
16814,0.87,-0.413
16835,0.72,-0.717
16852,0.44,-1.579
16857,1.19,0.467
16863,1.41,0.923
16878,0.84,-0.437
16888,0.74,-0.601
16894,0.73,-0.626
16921,1.0,0.425
16929,0.65,-0.996
16943,0.63,-0.905
16952,1.0,0.051
16971,1.01,-0.01
16984,0.9,-0.292
17003,1.2,0.458
17023,0.93,-0.198
17052,0.98,0.012
17058,1.25,0.774
17068,0.92,-0.368
17082,1.35,0.822
17093,0.97,-0.071
17108,0.9,-0.293
17116,0.67,-0.903
17125,0.88,-0.403
17134,0.59,-1.222
17150,0.47,-1.451
17151,0.54,-1.219
17157,0.54,-1.252
17175,0.92,0.473
17178,1.01,-0.117
17190,1.13,0.572
17209,1.16,0.568
17233,0.98,0.45
17246,0.98,0.009
17251,0.82,-0.56
17287,0.59,-1.107
17289,0.8,-0.534
17302,0.98,0.016
17334,0.94,-0.1
17342,0.98,0.439
17368,1.36,0.811
17380,1.13,0.277
17392,1.06,0.204
17415,1.19,0.591
17428,1.11,0.312
17442,0.98,0.01
17449,1.51,0.799
17479,1.15,0.251
17489,0.8,-0.578
17512,0.91,0.448
17519,1.11,0.372
17529,0.86,-0.37
17541,1.0,0.022
17571,1.04,0.271
17578,1.12,0.579
17589,0.84,-0.422
17598,0.79,-0.446
17623,0.59,-1.158
17635,1.03,0.041
17645,1.04,0.383
17650,0.85,-0.391
17664,0.81,-0.464
17676,0.86,-0.297
17681,0.98,0.284
17700,1.03,0.395
17718,1.01,0.042
17734,1.04,0.107
17756,0.93,-0.232
17773,1.23,0.599
17785,1.12,0.447
17812,0.96,0.398
17839,1.23,0.944
17854,1.07,0.138
17872,1.05,0.294
17886,1.0,0.243
17906,1.07,0.449
17923,1.13,0.862
17932,1.26,0.468
17947,1.05,0.801
17966,0.94,0.123
17975,0.44,-1.544
17984,1.12,0.282
18004,1.01,0.377
18018,0.98,0.325
18029,1.31,0.651
18039,1.26,0.561
18053,1.01,0.021
18058,1.18,0.34
18074,0.77,-0.651
18078,1.0,-0.042
18092,1.04,-0.069
18101,1.05,0.509
18109,1.14,0.692
18133,0.72,-0.768
18142,0.98,-0.119
18151,1.07,0.721
18166,0.99,-0.14
18174,0.94,-0.255
18187,0.54,-1.247
18188,0.57,-1.141
18197,0.64,-0.957
18203,1.05,0.215
18219,0.98,-0.24
18228,0.76,-0.523
18247,1.08,0.148
18258,0.68,-0.844
18266,0.78,-0.645
18277,0.94,-0.314
18291,0.98,0.092
18306,1.0,0.43
18312,0.72,-0.652
18326,1.0,-0.023
18329,0.91,-0.351
18339,1.03,0.531
18363,0.88,-0.274
18386,1.07,0.427
18388,0.8,-0.486
18412,0.96,-0.199
18421,1.14,0.42
18434,1.07,0.194
18447,0.99,0.029
18452,1.14,0.254
18461,0.96,-0.243
18472,0.85,-0.196
18486,1.04,0.304
18494,1.05,0.145
18512,0.83,-0.383
18533,0.83,-0.449
18537,0.67,-0.847
18540,0.75,-0.587
18566,0.98,-0.083
18570,1.18,0.394
18588,0.99,0.796
18605,1.1,0.28
18607,1.03,0.312
18634,1.29,0.557
18642,1.03,0.587
18650,1.0,0.198
18660,0.93,-0.119
18689,0.96,-0.319
18708,0.98,0.355
18713,0.71,-0.754
18733,1.01,0.079
18757,1.05,0.304
18784,0.81,-0.464
18795,0.98,0.177
18796,1.02,-0.087
18840,0.97,-0.161
18861,1.08,0.275
18864,1.2,0.202
18880,1.44,0.742
18884,0.77,-0.144
18900,0.97,0.468
18912,0.99,0.149
18918,1.0,0.426
18927,0.92,-0.324
18941,1.12,0.537
18949,1.05,0.399
18979,0.91,-0.334
18984,1.13,0.377
18993,1.41,0.838
19006,0.42,-1.695
19016,0.95,-0.17
19018,0.94,-0.129
19023,1.2,0.328
19024,1.18,0.391
19043,1.31,0.566
19052,1.03,0.446
19073,1.53,0.879
19092,1.49,0.691
19105,1.0,0.326
19124,0.84,-0.465
19140,0.72,-0.673
19147,0.82,-0.569
19156,1.01,0.092
19168,0.96,-0.099
19180,1.04,-0.006
19193,0.98,-0.011
19207,0.72,-0.707
19211,1.08,0.482
19222,1.03,-0.064
19234,0.8,-0.52
19259,0.91,-0.446
19276,0.92,-0.311
19285,1.2,0.304
19294,1.02,-0.141
19308,1.32,0.662
19329,1.06,0.165
19335,0.66,-0.822
19349,0.83,-0.423
19353,1.04,-0.085
19369,0.84,-0.426
19380,1.03,0.033
19414,0.68,-0.818
19417,0.28,-2.003
19426,0.91,-0.336
19449,0.99,0.07
19461,1.39,0.487
19477,0.77,-0.574
19481,0.74,-0.606
19495,0.86,-0.277
19498,1.02,-0.13
19512,1.05,0.222
19526,0.99,-0.307
19527,0.87,-0.273
19550,0.68,-0.721
19553,0.54,-1.21
19566,1.07,0.119
19575,1.22,0.244
19588,0.79,-0.201
19605,0.9,-0.338
19608,0.88,-0.393
19627,1.05,0.389
19630,0.98,-0.231
19646,1.07,0.119
19658,0.83,-0.48
19669,0.89,-0.276
19685,0.84,-0.44
19700,1.0,-0.034
19705,1.01,-0.02
19715,1.03,0.491
19734,0.95,-0.135
19746,0.79,-0.564
19756,0.85,-0.437
19764,0.98,-0.122
19777,1.09,0.258
19785,1.14,0.335
19813,1.02,0.091
19826,0.99,0.414
19836,0.99,0.194
19853,1.08,0.373
19862,1.02,0.169
19872,1.02,0.156
19883,1.02,-0.037
19894,1.01,-0.063
19897,0.75,-0.607
19915,0.98,-0.165
19933,0.73,-0.757
19951,1.16,0.926
19962,1.1,0.391
19982,0.18,-2.389
19987,0.97,-0.018
19996,1.12,0.252
20007,0.88,-0.434
20014,1.19,0.183
20034,1.08,0.326
20041,1.01,0.32
20055,1.08,0.329
20065,0.7,-0.754
20084,1.11,0.063
20093,1.11,0.434
20105,1.15,0.507
20109,0.72,-0.696
20114,0.72,-0.652
20120,1.06,0.0
20138,0.87,-0.363
20146,1.01,0.431
20149,1.27,0.434
20162,1.04,-0.039
20178,1.02,0.241
20199,0.63,-0.858
20208,0.99,0.019
20242,0.86,-0.339
20253,1.08,0.085
20260,1.17,0.201
20266,1.1,0.706
20276,0.78,-0.527
20294,0.94,-0.28
20300,0.92,-0.171
20308,1.07,0.709
20332,1.05,0.484
20345,0.83,-0.447
20356,0.86,-0.483
20389,0.96,-0.188
20393,1.11,0.638
20405,0.86,-0.271
20416,1.01,0.389
20423,1.19,0.638
20440,1.1,0.341
20450,1.28,0.69
20454,1.02,0.326
20466,1.03,0.155
20498,1.26,0.478
20508,1.24,0.373
20510,0.98,-0.172
20527,0.56,-1.323
20537,0.94,0.437
20540,1.42,0.611
20553,0.99,-0.303
20569,1.01,-0.134
20589,0.94,-0.138
20597,0.75,-0.646
20607,0.98,0.007
20624,1.1,0.406
20626,1.18,0.646
20638,0.9,-0.265
20644,0.89,-0.28
20652,0.99,0.237
20667,0.82,-0.114
20668,1.03,0.413
20678,1.18,0.145
20703,1.14,0.113
20747,1.13,0.131
20764,0.85,-0.405
20768,0.79,-0.472
20791,1.01,0.336
20799,0.36,-1.78
20807,1.16,0.787
20819,0.2,-2.287
20824,0.2,-2.26
20836,0.87,-0.472
20851,0.33,-1.871
20857,0.35,-1.783
20867,0.25,-1.982
20869,0.57,-1.418
20870,0.58,-1.066
20871,0.52,-1.368
20878,0.4,-1.638
20890,0.72,-0.636
20897,1.01,0.09
20898,0.99,0.055
20905,1.12,0.143
20920,1.01,0.021
20936,1.05,1.206
20968,0.89,-0.385
20974,1.24,0.702
20982,0.85,-0.498
20994,0.61,-1.109
21025,0.84,-0.45
21039,1.23,0.268
21049,1.09,0.123
21065,0.98,-0.056
21084,0.67,-0.803
21112,0.78,-0.539
21125,0.77,-0.57
21130,0.78,-0.552
21133,1.05,0.383
21144,0.87,-0.266
21154,1.16,0.179
21173,1.11,0.179
21183,0.96,-0.206
21190,1.06,0.129
21207,1.11,0.265
21217,1.03,-0.162
21238,0.96,-0.201
21255,1.12,0.361
21270,0.83,-0.524
21292,0.99,-0.196
21298,0.95,-0.198
21305,0.75,-0.707
21322,0.96,-0.245
21335,1.02,0.141
21343,0.65,-0.859
21357,1.02,-0.016
21372,0.81,-0.496
21405,0.94,-0.243
21415,1.11,0.175
21425,0.87,-0.324
21445,0.95,-0.218
21457,0.82,-0.508
21468,0.96,-0.104
21470,1.02,0.139
21477,0.75,-0.588
21492,0.82,-0.518
21512,1.04,0.012
21539,0.96,-0.055
21549,1.12,0.154
21557,0.87,-0.351
21568,0.85,-0.496
21570,1.02,0.46
21572,1.13,0.452
21582,1.27,0.392
21587,1.14,0.354
21592,1.09,0.182
21593,1.07,0.198
21595,1.04,0.115
21617,0.97,-0.079
21640,0.98,-0.143
21657,0.57,-1.179
21670,1.25,0.486
21677,1.14,0.76
21688,1.12,0.417
21693,0.78,-0.624
21713,1.37,0.593
21727,1.05,-0.04
21731,1.03,0.526
21760,0.95,-0.032
21774,0.92,-0.336
21792,0.87,-0.407
21797,0.94,-0.17
21812,1.01,0.034
21817,1.02,0.055
21827,1.17,0.199
21844,0.92,-0.37
21852,0.91,-0.251
21864,0.83,-0.416
21872,0.69,-0.663
21876,1.0,0.074
21903,0.99,0.075
21911,0.81,-0.6
21923,1.05,0.296
21926,1.23,0.43
21936,1.08,0.144
21947,0.55,-1.193
21958,1.04,0.402
21981,1.02,-0.005
21992,1.02,-0.14
22019,0.76,-0.57
22021,1.02,-0.079
22032,0.59,-1.242
22048,0.99,-0.184
22052,1.0,0.599
22072,1.0,-0.098
22085,0.98,0.007
22093,1.22,0.496
22104,0.88,-0.205
22118,0.93,-0.35
22126,0.66,-0.95
22148,1.02,0.194
22163,0.96,0.061
22179,1.02,0.036
22185,0.89,-0.398
22196,0.83,-0.56
22202,0.72,-0.612
22223,1.2,0.274
22249,0.87,-0.369
22267,1.1,0.485
22274,0.8,-0.563
22295,0.84,-0.404
22332,0.59,-1.17
22335,1.19,0.331
22345,1.1,0.274
22358,1.14,0.415
22370,1.01,-0.136
22376,1.04,0.175
22387,0.88,-0.503
22393,1.22,0.287
22401,1.18,0.215
22432,1.04,0.24
22437,0.97,-0.209
22459,0.99,0.472
22468,1.16,0.405
22481,1.09,0.19
22485,1.08,0.246
22494,1.09,0.164
22510,0.99,-0.033
22523,1.06,0.098
22538,1.02,-0.05
22564,0.94,-0.208
22573,0.93,-0.217
22581,0.88,-0.361
22589,0.79,-0.556
22600,0.86,-0.451
22613,0.96,-0.121
22620,1.02,0.003
22630,1.02,0.159
22642,1.04,-0.098
22653,0.74,-0.611
22665,0.96,-0.231
22677,0.89,-0.278
22689,1.15,0.383
22710,0.82,-0.508
22721,0.91,-0.234
22733,0.81,-0.611
22750,1.15,0.118
22762,1.02,0.062
22770,0.65,-0.957
22782,0.97,0.314
22799,0.93,-0.172
22806,0.97,-0.031
22836,0.95,-0.132
22841,0.89,-0.188
22865,0.95,-0.223
22903,0.79,-0.512
22905,0.59,-1.177
22919,0.85,-0.435
22930,1.27,0.603
22941,0.96,-0.062
22952,0.81,-0.471
22971,0.87,-0.379
22982,0.95,-0.158
22998,1.02,0.154
23008,1.24,0.28
23042,0.77,-0.506
23061,1.02,-0.03
23071,0.8,-0.531
23079,0.92,-0.38
23087,1.07,0.261
23097,1.01,0.086
23123,1.07,0.344
23132,0.98,-0.022
23139,0.97,-0.124
23144,0.92,-0.286
23154,1.19,0.287
23167,1.25,0.171
23182,0.83,-0.532
23191,0.59,-1.122
23215,0.97,-0.111
23222,0.84,-0.394
23244,1.01,0.026
23255,1.22,0.631
23262,1.03,-0.045
23270,0.91,-0.337
23287,1.15,0.437
23301,0.78,-0.577
23306,1.01,0.078
23317,1.03,0.016
23330,0.99,-0.068
23335,1.12,0.537
23344,1.0,0.192
23379,0.95,-0.225
23391,0.75,-0.587
23394,0.92,-0.278
23410,0.98,-0.026
23423,1.0,0.226
23434,0.79,-0.578
23449,0.8,-0.53
23455,1.07,0.099
23465,0.77,-0.513
23472,0.75,-0.662
23486,0.85,-0.504
23508,0.68,-0.81
23514,1.0,0.06
23528,0.81,-0.432
23537,0.77,-0.562
23561,0.6,-1.295
23565,0.79,-0.331
23578,1.17,0.205
23583,0.84,-0.453
23596,1.05,0.154
23613,0.48,-1.385
23646,0.54,-1.26
23648,0.54,-1.215
23656,0.55,-1.337
23661,0.96,-0.181
23674,1.04,0.3
23679,0.94,-0.215
23688,1.05,0.41
23705,1.03,0.03
23714,0.87,-0.329
23726,1.04,0.144
23736,0.99,0.219
23748,0.72,-0.662
23757,1.03,-0.05
23769,1.12,0.493
23790,0.93,-0.226
23792,0.92,0.003
23806,0.8,-0.506
23812,0.83,-0.41
23827,1.15,0.407
23837,1.07,0.429
23840,0.95,-0.077
23848,1.03,0.187
23861,1.06,0.384
23870,1.02,0.034
23891,0.7,-0.762
23899,0.87,-0.307
23910,0.98,0.237
23914,1.01,-0.016
23925,1.12,0.277
23932,0.91,-0.176
23949,0.99,-0.161
23956,0.95,-0.19
23959,0.95,0.374
23971,1.12,0.22
23978,0.85,-0.448
23999,1.1,0.267
24004,0.96,-0.231
24017,0.93,-0.301
24023,1.02,0.16
24041,0.96,-0.27
24052,0.8,-0.23
24060,1.08,0.174
24066,0.82,-0.39
24075,0.98,-0.235
24078,0.76,-0.672
24094,0.97,-0.161
24111,0.85,-0.441
24134,1.06,0.22
24142,1.01,-0.003
24151,0.6,-1.117
24160,1.13,0.292
24174,0.51,-1.298
24183,0.99,-0.025
24185,1.02,0.242
24196,0.83,-0.625
24210,0.82,-0.576
24234,0.87,-0.414
24252,1.01,-0.078
24257,1.0,-0.049
24266,1.11,-0.055
24271,1.01,0.077
24286,1.03,0.061
24291,1.06,0.214
24298,0.89,-0.296
24303,0.93,-0.308
24314,0.9,-0.274
24333,0.96,-0.094
24347,1.06,0.1
24357,1.17,0.806
24368,1.0,0.152
24379,1.01,0.452
24388,1.02,0.365
24391,0.83,-0.647
24405,1.11,0.774
24411,1.01,-0.092
24412,0.99,-0.103
24418,1.01,0.593
24434,1.12,0.1
24457,0.82,-0.505
24461,1.19,0.474
24471,0.86,-0.352
24475,1.03,-0.116
